video_id,views,likes,estimated_payment_usd,bonus_usd,total_earning_usd
VID0053,3386967,110811,8467.42,500,8967.42
VID0054,4787846,239205,11969.61,500,12469.61
VID0055,3163440,11415,7908.6,100,8008.6
VID0056,1369237,81179,3423.09,500,3923.09
VID0057,2130728,173252,5326.82,500,5826.82
VID0058,3158754,5523,7896.89,0,7896.89
VID0059,2096141,108947,5240.35,500,5740.35
VID0060,3175100,237732,7937.75,500,8437.75
VID0061,3010801,192378,7527.0,500,8027.0
VID0062,865852,54899,2164.63,500,2664.63
VID0063,2004515,75466,5011.29,500,5511.29
VID0064,4425220,68037,11063.05,500,11563.05
VID0065,530513,28216,1326.28,200,1526.28
VID0066,4770136,186010,11925.34,500,12425.34
VID0067,4131401,159113,10328.5,500,10828.5
VID0068,3514758,31113,8786.9,200,8986.9
VID0069,2995224,13170,7488.06,100,7588.06
VID0070,4790616,358131,11976.54,500,12476.54
VID0071,4960361,233894,12400.9,500,12900.9
VID0072,1173148,37046,2932.87,200,3132.87
VID0073,4078008,7215,10195.02,0,10195.02
VID0074,1313745,78220,3284.36,500,3784.36
VID0075,1891566,91207,4728.91,500,5228.91
VID0076,1820629,6612,4551.57,0,4551.57
VID0077,4583745,145680,11459.36,500,11959.36
VID0078,2705702,175266,6764.26,500,7264.26
VID0079,4988065,94601,12470.16,500,12970.16
VID0080,1704667,116128,4261.67,500,4761.67
VID0081,3411773,130752,8529.43,500,9029.43
VID0082,1409474,41010,3523.68,200,3723.68
VID0083,370200,29669,925.5,200,1125.5
VID0084,1083624,12762,2709.06,100,2809.06
VID0085,4525688,130369,11314.22,500,11814.22
VID0086,1009460,77464,2523.65,500,3023.65
VID0087,2139775,189535,5349.44,500,5849.44
VID0088,1750703,130765,4376.76,500,4876.76
VID0089,3147435,291028,7868.59,500,8368.59
VID0090,1751863,93895,4379.66,500,4879.66
VID0091,1166538,103127,2916.35,500,3416.35
VID0092,2540195,113363,6350.49,500,6850.49
VID0093,4096678,149948,10241.69,500,10741.69
VID0094,3778087,339281,9445.22,500,9945.22
VID0095,552088,45859,1380.22,200,1580.22
VID0096,3008273,202379,7520.68,500,8020.68
VID0097,1869730,71175,4674.32,500,5174.32
VID0098,599855,6642,1499.64,0,1499.64
VID0099,1652822,49160,4132.05,200,4332.05
VID0100,670752,4593,1676.88,0,1676.88
VID0101,2526126,177264,6315.32,500,6815.32
VID0102,3730360,331964,9325.9,500,9825.9
VID0103,2668580,94120,6671.45,500,7171.45
VID0104,4861814,215195,12154.53,500,12654.53
VID0105,4510107,242634,11275.27,500,11775.27
VID0106,819103,64440,2047.76,500,2547.76
VID0107,4275146,104625,10687.86,500,11187.86
VID0108,1335804,55251,3339.51,500,3839.51
VID0109,3504540,179633,8761.35,500,9261.35
VID0110,756059,32028,1890.15,200,2090.15
VID0111,3482524,28185,8706.31,200,8906.31
VID0112,3963702,265054,9909.26,500,10409.26
VID0113,3211708,36209,8029.27,200,8229.27
VID0114,853911,51340,2134.78,500,2634.78
VID0115,1787540,40592,4468.85,200,4668.85
VID0116,2826870,40671,7067.17,200,7267.17
VID0117,3671287,213076,9178.22,500,9678.22
VID0118,1834618,90933,4586.55,500,5086.55
VID0119,3697542,282561,9243.85,500,9743.85
VID0120,2737068,36483,6842.67,200,7042.67
VID0121,4702480,320790,11756.2,500,12256.2
VID0122,4873894,190096,12184.74,500,12684.74
VID0123,1128348,56485,2820.87,500,3320.87
VID0124,1340705,1113,3351.76,0,3351.76
VID0125,2345011,54123,5862.53,500,6362.53
VID0126,53240,1351,133.1,0,133.1
VID0127,4935847,316153,12339.62,500,12839.62
VID0128,1775567,48651,4438.92,200,4638.92
VID0129,1670138,145624,4175.34,500,4675.34
VID0130,2980588,111098,7451.47,500,7951.47
VID0131,3986116,72290,9965.29,500,10465.29
VID0132,3363619,260088,8409.05,500,8909.05
VID0133,3639179,182175,9097.95,500,9597.95
VID0134,4020842,246955,10052.1,500,10552.1
VID0135,4407699,100898,11019.25,500,11519.25
VID0136,2686932,222471,6717.33,500,7217.33
VID0137,2557466,90304,6393.66,500,6893.66
VID0138,1214531,20510,3036.33,200,3236.33
VID0139,2165073,202447,5412.68,500,5912.68
VID0140,3438598,268215,8596.49,500,9096.49
VID0141,4154006,250598,10385.02,500,10885.02
VID0142,13338,507,33.34,0,33.34
VID0143,391771,34173,979.43,200,1179.43
VID0144,1436800,118063,3592.0,500,4092.0
VID0145,1487535,22522,3718.84,200,3918.84
VID0146,3276735,25031,8191.84,200,8391.84
VID0147,4519447,345030,11298.62,500,11798.62
VID0148,2190986,23240,5477.47,200,5677.47
VID0149,3972302,72141,9930.76,500,10430.76
VID0150,4884709,252490,12211.77,500,12711.77
VID0151,554722,31193,1386.8,200,1586.8
VID0152,2248799,133074,5622.0,500,6122.0
VID0153,2813003,3642,7032.51,0,7032.51
VID0154,1599365,95273,3998.41,500,4498.41
VID0155,3358944,300597,8397.36,500,8897.36
VID0156,1632236,152051,4080.59,500,4580.59
VID0157,4229209,249818,10573.02,500,11073.02
VID0158,3634680,340893,9086.7,500,9586.7
VID0159,4035205,346266,10088.01,500,10588.01
VID0160,3654821,82332,9137.05,500,9637.05
VID0161,235742,16110,589.36,100,689.36
VID0162,659279,25422,1648.2,200,1848.2
VID0163,4456529,112320,11141.32,500,11641.32
VID0164,3215268,246194,8038.17,500,8538.17
VID0165,2235935,185744,5589.84,500,6089.84
VID0166,2608555,223013,6521.39,500,7021.39
VID0167,3332293,61990,8330.73,500,8830.73
VID0168,2684898,202830,6712.25,500,7212.25
VID0169,2916850,58766,7292.12,500,7792.12
VID0170,1115456,90762,2788.64,500,3288.64
VID0171,4216346,369101,10540.86,500,11040.86
VID0172,4625894,352376,11564.74,500,12064.74
VID0173,4028547,205477,10071.37,500,10571.37
VID0174,366898,4894,917.25,0,917.25
VID0175,2442529,1992,6106.32,0,6106.32
VID0176,1355525,98165,3388.81,500,3888.81
VID0177,1423657,109906,3559.14,500,4059.14
VID0178,3048647,179242,7621.62,500,8121.62
VID0179,3152944,56219,7882.36,500,8382.36
VID0180,1726502,135351,4316.26,500,4816.26
VID0181,4788441,138346,11971.1,500,12471.1
VID0182,3179791,179936,7949.48,500,8449.48
VID0183,432590,19376,1081.47,100,1181.47
VID0184,1983455,109119,4958.64,500,5458.64
VID0185,3854329,16031,9635.82,100,9735.82
VID0186,4700731,87589,11751.83,500,12251.83
VID0187,1668307,31629,4170.77,200,4370.77
VID0188,2399545,193964,5998.86,500,6498.86
VID0189,1842740,76300,4606.85,500,5106.85
VID0190,2737017,140148,6842.54,500,7342.54
VID0191,1591771,40717,3979.43,200,4179.43
VID0192,4932369,57427,12330.92,500,12830.92
VID0193,1522379,112557,3805.95,500,4305.95
VID0194,4163864,224470,10409.66,500,10909.66
VID0195,1504078,68013,3760.19,500,4260.19
VID0196,3599302,43463,8998.26,200,9198.26
VID0197,3178026,177324,7945.06,500,8445.06
VID0198,2158118,18895,5395.3,100,5495.3
VID0199,582834,28765,1457.08,200,1657.08
VID0200,1315101,50072,3287.75,500,3787.75
VID0201,488889,19,1222.22,0,1222.22
VID0202,4301493,196261,10753.73,500,11253.73
VID0203,1822777,80933,4556.94,500,5056.94
VID0204,40803,3708,102.01,0,102.01
VID0205,2383516,89914,5958.79,500,6458.79
VID0206,2939694,73552,7349.23,500,7849.23
VID0207,1098016,87119,2745.04,500,3245.04
VID0208,3482668,154573,8706.67,500,9206.67
VID0209,1147274,53683,2868.18,500,3368.18
VID0210,1037776,73358,2594.44,500,3094.44
VID0211,931643,79764,2329.11,500,2829.11
VID0212,4619997,292351,11549.99,500,12049.99
VID0213,3296500,199592,8241.25,500,8741.25
VID0214,4443108,304562,11107.77,500,11607.77
VID0215,3131163,297210,7827.91,500,8327.91
VID0216,3427888,74124,8569.72,500,9069.72
VID0217,1469641,45696,3674.1,200,3874.1
VID0218,4445578,347513,11113.95,500,11613.95
VID0219,1117166,47836,2792.91,200,2992.91
VID0220,708922,6891,1772.31,0,1772.31
VID0221,2063930,10057,5159.82,100,5259.82
VID0222,2433329,18418,6083.32,100,6183.32
VID0223,1821573,114829,4553.93,500,5053.93
VID0224,2963443,93086,7408.61,500,7908.61
VID0225,1480226,110711,3700.57,500,4200.57
VID0226,2662507,139994,6656.27,500,7156.27
VID0227,3151901,59137,7879.75,500,8379.75
VID0228,2577036,189155,6442.59,500,6942.59
VID0229,1688059,145143,4220.15,500,4720.15
VID0230,4809477,314970,12023.69,500,12523.69
VID0231,3737794,312354,9344.49,500,9844.49
VID0232,148881,5506,372.2,0,372.2
VID0233,617192,20082,1542.98,200,1742.98
VID0234,1505549,127424,3763.87,500,4263.87
VID0235,2173240,65693,5433.1,500,5933.1
VID0236,1587301,59237,3968.25,500,4468.25
VID0237,4224396,402544,10560.99,500,11060.99
VID0238,98010,8800,245.03,0,245.03
VID0239,2073789,99441,5184.47,500,5684.47
VID0240,3878291,273622,9695.73,500,10195.73
VID0241,2005370,171064,5013.42,500,5513.42
VID0242,1766060,1383,4415.15,0,4415.15
VID0243,579454,36924,1448.63,200,1648.63
VID0244,277996,3738,694.99,0,694.99
VID0245,4667489,48086,11668.72,200,11868.72
VID0246,2184693,198751,5461.73,500,5961.73
VID0247,3323015,117321,8307.54,500,8807.54
VID0248,672312,42269,1680.78,200,1880.78
VID0249,4833703,337025,12084.26,500,12584.26
VID0250,823731,52597,2059.33,500,2559.33
VID0251,4941537,406198,12353.84,500,12853.84
VID0252,3772466,363,9431.16,0,9431.16
VID0253,3507999,27611,8770.0,200,8970.0
VID0254,1720990,27689,4302.48,200,4502.48
VID0255,3736306,12675,9340.76,100,9440.76
VID0256,877395,87199,2193.49,500,2693.49
VID0257,4497730,433987,11244.32,500,11744.32
VID0258,3002782,149388,7506.95,500,8006.95
VID0259,3223648,245582,8059.12,500,8559.12
VID0260,2087649,29670,5219.12,200,5419.12
VID0261,221395,11459,553.49,100,653.49
VID0262,3170292,23068,7925.73,200,8125.73
VID0263,1787120,65036,4467.8,500,4967.8
VID0264,1519622,147034,3799.06,500,4299.06
VID0265,431385,23787,1078.46,200,1278.46
VID0266,4694646,10035,11736.61,100,11836.61
VID0267,3268014,203159,8170.03,500,8670.03
VID0268,2700804,152769,6752.01,500,7252.01
VID0269,3826341,240051,9565.85,500,10065.85
VID0270,2164270,33374,5410.68,200,5610.68
VID0271,1435124,112799,3587.81,500,4087.81
VID0272,3008628,281252,7521.57,500,8021.57
VID0273,14332,1062,35.83,0,35.83
VID0274,1650706,82997,4126.76,500,4626.76
VID0275,4420783,148090,11051.96,500,11551.96
VID0276,3929674,298277,9824.18,500,10324.18
VID0277,2272498,67225,5681.24,500,6181.24
VID0278,4674728,277585,11686.82,500,12186.82
VID0279,1684574,120183,4211.44,500,4711.44
VID0280,3027933,270844,7569.83,500,8069.83
VID0281,2531079,37503,6327.7,200,6527.7
VID0282,2900163,166808,7250.41,500,7750.41
VID0283,2831108,112608,7077.77,500,7577.77
VID0284,3821560,329090,9553.9,500,10053.9
VID0285,1397668,8174,3494.17,0,3494.17
VID0286,1722698,10596,4306.74,100,4406.74
VID0287,1356036,76155,3390.09,500,3890.09
VID0288,1812561,3471,4531.4,0,4531.4
VID0289,1813971,19145,4534.93,100,4634.93
VID0290,357662,27426,894.15,200,1094.15
VID0291,1507156,91463,3767.89,500,4267.89
VID0292,4951079,415496,12377.7,500,12877.7
VID0293,2919342,195985,7298.36,500,7798.36
VID0294,2379733,220927,5949.33,500,6449.33
VID0295,2654608,15159,6636.52,100,6736.52
VID0296,1057337,26915,2643.34,200,2843.34
VID0297,4526193,131170,11315.48,500,11815.48
VID0298,3375945,26550,8439.86,200,8639.86
VID0299,762144,6020,1905.36,0,1905.36
VID0300,2067741,153911,5169.35,500,5669.35
VID0301,4598022,297768,11495.06,500,11995.06
VID0302,195754,9879,489.38,0,489.38
VID0303,2212025,174627,5530.06,500,6030.06
VID0304,4943429,247705,12358.57,500,12858.57
VID0305,4729706,370814,11824.26,500,12324.26
VID0306,3374653,159445,8436.63,500,8936.63
VID0307,1848035,8748,4620.09,0,4620.09
VID0308,767852,63884,1919.63,500,2419.63
VID0309,1371449,27240,3428.62,200,3628.62
VID0310,1860285,108216,4650.71,500,5150.71
VID0311,1181298,84334,2953.24,500,3453.24
VID0312,2843918,2826,7109.8,0,7109.8
VID0313,3913065,339118,9782.66,500,10282.66
VID0314,2805938,56566,7014.85,500,7514.85
VID0315,2004505,104526,5011.26,500,5511.26
VID0316,4520519,215085,11301.3,500,11801.3
VID0317,397637,690,994.09,0,994.09
VID0318,1476278,35810,3690.7,200,3890.7
VID0319,4027552,148964,10068.88,500,10568.88
VID0320,2852396,144106,7130.99,500,7630.99
VID0321,3386305,120243,8465.76,500,8965.76
VID0322,1538637,71779,3846.59,500,4346.59
VID0323,1591215,156745,3978.04,500,4478.04
VID0324,3744755,26941,9361.89,200,9561.89
VID0325,2006862,30248,5017.16,200,5217.16
VID0326,4975496,382591,12438.74,500,12938.74
VID0327,1711840,18842,4279.6,100,4379.6
VID0328,3706093,53195,9265.23,500,9765.23
VID0329,2172695,216550,5431.74,500,5931.74
VID0330,3547463,222192,8868.66,500,9368.66
VID0331,93037,9177,232.59,0,232.59
VID0332,4519605,151844,11299.01,500,11799.01
VID0333,4720290,267833,11800.73,500,12300.73
VID0334,4304754,174534,10761.89,500,11261.89
VID0335,690430,20942,1726.07,200,1926.07
VID0336,1550360,21443,3875.9,200,4075.9
VID0337,3548277,251381,8870.69,500,9370.69
VID0338,3432641,313278,8581.6,500,9081.6
VID0339,1149398,45440,2873.49,200,3073.49
VID0340,4410793,193464,11026.98,500,11526.98
VID0341,3799500,204794,9498.75,500,9998.75
VID0342,1913308,1556,4783.27,0,4783.27
VID0343,1795674,23813,4489.18,200,4689.18
VID0344,3066284,225848,7665.71,500,8165.71
VID0345,1939518,9605,4848.8,0,4848.8
VID0346,325759,4869,814.4,0,814.4
VID0347,4090292,290102,10225.73,500,10725.73
VID0348,710222,70989,1775.55,500,2275.55
VID0349,4514900,83220,11287.25,500,11787.25
VID0350,3607801,227923,9019.5,500,9519.5
VID0351,2787846,277589,6969.61,500,7469.61
VID0352,2446084,175119,6115.21,500,6615.21
VID0353,398974,17749,997.43,100,1097.43
VID0354,2211584,39051,5528.96,200,5728.96
VID0355,778086,77614,1945.22,500,2445.22
VID0356,156947,12880,392.37,100,492.37
VID0357,563765,27610,1409.41,200,1609.41
VID0358,2097499,33528,5243.75,200,5443.75
VID0359,3700995,125624,9252.49,500,9752.49
VID0360,1592100,99875,3980.25,500,4480.25
VID0361,4963852,52973,12409.63,500,12909.63
VID0362,3624259,94665,9060.65,500,9560.65
VID0363,257698,6819,644.24,0,644.24
VID0364,2140403,184829,5351.01,500,5851.01
VID0365,339817,27751,849.54,200,1049.54
VID0366,1625874,58157,4064.68,500,4564.68
VID0367,1032988,13368,2582.47,100,2682.47
VID0368,2068746,42595,5171.86,200,5371.86
VID0369,1523688,118569,3809.22,500,4309.22
VID0370,2962923,20952,7407.31,200,7607.31
VID0371,3967247,163746,9918.12,500,10418.12
VID0372,4895687,100114,12239.22,500,12739.22
VID0373,3646573,125385,9116.43,500,9616.43
VID0374,3373900,277663,8434.75,500,8934.75
VID0375,3614615,35056,9036.54,200,9236.54
VID0376,2066592,76782,5166.48,500,5666.48
VID0377,3366812,297306,8417.03,500,8917.03
VID0378,4008161,313890,10020.4,500,10520.4
VID0379,2079805,139566,5199.51,500,5699.51
VID0380,4647235,315444,11618.09,500,12118.09
VID0381,318937,13114,797.34,100,897.34
VID0382,349994,9818,874.99,0,874.99
VID0383,397193,29593,992.98,200,1192.98
VID0384,4797153,325391,11992.88,500,12492.88
VID0385,3111415,14407,7778.54,100,7878.54
VID0386,2601700,19543,6504.25,100,6604.25
VID0387,2332573,213214,5831.43,500,6331.43
VID0388,2787089,250890,6967.72,500,7467.72
VID0389,3462362,288884,8655.91,500,9155.91
VID0390,3641896,122934,9104.74,500,9604.74
VID0391,1221616,20974,3054.04,200,3254.04
VID0392,1031847,40685,2579.62,200,2779.62
VID0393,3211490,263514,8028.72,500,8528.72
VID0394,1847523,160963,4618.81,500,5118.81
VID0395,4554534,87288,11386.33,500,11886.33
VID0396,3796002,259872,9490.0,500,9990.0
VID0397,1943790,178420,4859.48,500,5359.48
VID0398,114518,9034,286.3,0,286.3
VID0399,2891196,43091,7227.99,200,7427.99
VID0400,2338006,101002,5845.01,500,6345.01
VID0401,2511118,229514,6277.8,500,6777.8
VID0402,3566726,177680,8916.82,500,9416.82
VID0403,1945515,172404,4863.79,500,5363.79
VID0404,4180264,232276,10450.66,500,10950.66
VID0405,1208413,16217,3021.03,100,3121.03
VID0406,3060578,240556,7651.44,500,8151.44
VID0407,4082980,308276,10207.45,500,10707.45
VID0408,4183398,257910,10458.5,500,10958.5
VID0409,3145521,240305,7863.8,500,8363.8
VID0410,3490979,39161,8727.45,200,8927.45
VID0411,1673476,12976,4183.69,100,4283.69
VID0412,1538233,15519,3845.58,100,3945.58
VID0413,4339179,349216,10847.95,500,11347.95
VID0414,3732409,361727,9331.02,500,9831.02
VID0415,864162,18445,2160.41,100,2260.41
VID0416,4027687,2904,10069.22,0,10069.22
VID0417,1756026,36283,4390.07,200,4590.07
VID0418,4333249,87655,10833.12,500,11333.12
VID0419,4086075,63185,10215.19,500,10715.19
VID0420,4430581,278130,11076.45,500,11576.45
VID0421,304533,23505,761.33,200,961.33
VID0422,2006005,134265,5015.01,500,5515.01
VID0423,2361278,14828,5903.19,100,6003.19
VID0424,3949978,215345,9874.94,500,10374.94
VID0425,4186047,84581,10465.12,500,10965.12
VID0426,3160005,54202,7900.01,500,8400.01
VID0427,1573077,116683,3932.69,500,4432.69
VID0428,79934,2193,199.83,0,199.83
VID0429,2692830,66508,6732.07,500,7232.07
VID0430,4601478,307339,11503.69,500,12003.69
VID0431,3955540,206821,9888.85,500,10388.85
VID0432,1250523,10120,3126.31,100,3226.31
VID0433,1765943,126419,4414.86,500,4914.86
VID0434,4978593,339746,12446.48,500,12946.48
VID0435,1829099,177392,4572.75,500,5072.75
VID0436,1925877,143705,4814.69,500,5314.69
VID0437,2804990,205392,7012.47,500,7512.47
VID0438,2356415,94688,5891.04,500,6391.04
VID0439,4255033,50365,10637.58,500,11137.58
VID0440,1737246,133845,4343.11,500,4843.11
VID0441,2773646,189307,6934.12,500,7434.12
VID0442,144865,944,362.16,0,362.16
VID0443,2955218,204846,7388.05,500,7888.05
VID0444,4813493,38722,12033.73,200,12233.73
VID0445,996581,95789,2491.45,500,2991.45
VID0446,1616254,97644,4040.63,500,4540.64
VID0447,3313597,184324,8283.99,500,8783.99
VID0448,3816112,108595,9540.28,500,10040.28
VID0449,2901541,235251,7253.85,500,7753.85
VID0450,3329319,103993,8323.3,500,8823.3
VID0451,259238,2033,648.1,0,648.1
VID0452,2275956,208683,5689.89,500,6189.89
VID0453,3969648,193006,9924.12,500,10424.12
VID0454,872100,20453,2180.25,200,2380.25
VID0455,3222507,46220,8056.27,200,8256.27
VID0456,618784,29848,1546.96,200,1746.96
VID0457,840720,13407,2101.8,100,2201.8
VID0458,490010,5406,1225.03,0,1225.03
VID0459,178174,8010,445.44,0,445.44
VID0460,4712040,46602,11780.1,200,11980.1
VID0461,2578051,86466,6445.13,500,6945.13
VID0462,3738088,22896,9345.22,200,9545.22
VID0463,4029452,236902,10073.63,500,10573.63
VID0464,1797055,72177,4492.64,500,4992.64
VID0465,2202,85,5.5,0,5.5
VID0466,4255504,391203,10638.76,500,11138.76
VID0467,4047675,151811,10119.19,500,10619.19
VID0468,1956996,104546,4892.49,500,5392.49
VID0469,3258880,264223,8147.2,500,8647.2
VID0470,3328274,234645,8320.68,500,8820.68
VID0471,4683038,92502,11707.59,500,12207.59
VID0472,1607324,79001,4018.31,500,4518.31
VID0473,4994043,126373,12485.11,500,12985.11
VID0474,4509340,11592,11273.35,100,11373.35
VID0475,953932,89185,2384.83,500,2884.83
VID0476,629020,57261,1572.55,500,2072.55
VID0477,1562993,65035,3907.48,500,4407.48
VID0478,3354888,174330,8387.22,500,8887.22
VID0479,2584971,187951,6462.43,500,6962.43
VID0480,4174089,153092,10435.22,500,10935.22
VID0481,4467218,91153,11168.05,500,11668.05
VID0482,2500212,64851,6250.53,500,6750.53
VID0483,3700738,300991,9251.84,500,9751.84
VID0484,4132599,99643,10331.5,500,10831.5
VID0485,294329,6598,735.82,0,735.82
VID0486,845604,69516,2114.01,500,2614.01
VID0487,2485334,200338,6213.33,500,6713.33
VID0488,2361844,98364,5904.61,500,6404.61
VID0489,4076479,2186,10191.2,0,10191.2
VID0490,2735896,119023,6839.74,500,7339.74
VID0491,3904212,93619,9760.53,500,10260.53
VID0492,3182660,226855,7956.65,500,8456.65
VID0493,4737169,454926,11842.92,500,12342.92
VID0494,1118249,46595,2795.62,200,2995.62
VID0495,1857128,69741,4642.82,500,5142.82
VID0496,1867712,94075,4669.28,500,5169.28
VID0497,299511,12860,748.78,100,848.78
VID0498,2911521,256806,7278.8,500,7778.8
VID0499,3511544,302398,8778.86,500,9278.86
VID0500,1399345,102805,3498.36,500,3998.36
VID0501,966769,63446,2416.92,500,2916.92
VID0502,1861294,120647,4653.24,500,5153.24
VID0503,4760461,462789,11901.15,500,12401.15
VID0504,2882864,280667,7207.16,500,7707.16
VID0505,4179032,361340,10447.58,500,10947.58
VID0506,3879433,172530,9698.58,500,10198.58
VID0507,1748100,125450,4370.25,500,4870.25
VID0508,1165708,106188,2914.27,500,3414.27
VID0509,2540301,174333,6350.75,500,6850.75
VID0510,3403579,32532,8508.95,200,8708.95
VID0511,4391855,1033,10979.64,0,10979.64
VID0512,4040310,188687,10100.77,500,10600.77
VID0513,1989158,159001,4972.89,500,5472.89
VID0514,3176899,147682,7942.25,500,8442.25
VID0515,3541016,64274,8852.54,500,9352.54
VID0516,1141256,34766,2853.14,200,3053.14
VID0517,312790,31046,781.98,200,981.98
VID0518,4935158,185380,12337.9,500,12837.9
VID0519,1926735,22698,4816.84,200,5016.84
VID0520,4829755,66393,12074.39,500,12574.39
VID0521,130167,10527,325.42,100,425.42
VID0522,4099726,340141,10249.31,500,10749.31
VID0523,2025774,125538,5064.43,500,5564.43
VID0524,2143410,157682,5358.52,500,5858.52
VID0525,2270786,29644,5676.97,200,5876.97
VID0526,2042227,165750,5105.57,500,5605.57
VID0527,4678381,75924,11695.95,500,12195.95
VID0528,3189364,222519,7973.41,500,8473.41
VID0529,2625554,28177,6563.89,200,6763.89
VID0530,3085417,53601,7713.54,500,8213.54
VID0531,4300062,29809,10750.15,200,10950.15
VID0532,4710111,464523,11775.28,500,12275.28
VID0533,4442391,249082,11105.98,500,11605.98
VID0534,1087943,42271,2719.86,200,2919.86
VID0535,3875190,211078,9687.98,500,10187.98
VID0536,4675003,289341,11687.51,500,12187.51
VID0537,2575129,93805,6437.82,500,6937.82
VID0538,2663452,176160,6658.63,500,7158.63
VID0539,2050574,104024,5126.44,500,5626.44
VID0540,1736177,33432,4340.44,200,4540.44
VID0541,271994,10823,679.99,100,779.99
VID0542,4880574,11945,12201.43,100,12301.43
VID0543,2380514,74113,5951.28,500,6451.28
VID0544,4561090,165495,11402.73,500,11902.73
VID0545,1866236,181154,4665.59,500,5165.59
VID0546,2452194,135298,6130.48,500,6630.48
VID0547,1684896,19462,4212.24,100,4312.24
VID0548,2219984,131650,5549.96,500,6049.96
VID0549,4297865,328692,10744.66,500,11244.66
VID0550,1648141,140102,4120.35,500,4620.35
VID0551,702102,9925,1755.25,0,1755.25
VID0552,3751184,78743,9377.96,500,9877.96
VID0553,1230472,111418,3076.18,500,3576.18
VID0554,1894471,160559,4736.18,500,5236.18
VID0555,4233963,323531,10584.91,500,11084.91
VID0556,598234,32281,1495.59,200,1695.59
VID0557,3795543,26386,9488.86,200,9688.86
VID0558,3336792,52708,8341.98,500,8841.98
VID0559,3471754,14537,8679.39,100,8779.39
VID0560,2406023,57598,6015.06,500,6515.06
VID0561,408828,18337,1022.07,100,1122.07
VID0562,1533423,43220,3833.56,200,4033.56
VID0563,3059756,262595,7649.39,500,8149.39
VID0564,1020365,30094,2550.91,200,2750.91
VID0565,1315614,104938,3289.03,500,3789.03
VID0566,4997543,54145,12493.86,500,12993.86
VID0567,3080667,234514,7701.67,500,8201.67
VID0568,3995090,322776,9987.73,500,10487.73
VID0569,2980238,233328,7450.59,500,7950.59
VID0570,4413716,144413,11034.29,500,11534.29
VID0571,802485,51974,2006.21,500,2506.21
VID0572,4337221,221935,10843.05,500,11343.05
VID0573,965115,84265,2412.79,500,2912.79
VID0574,2959496,292519,7398.74,500,7898.74
VID0575,1484688,23058,3711.72,200,3911.72
VID0576,3921265,67306,9803.16,500,10303.16
VID0577,2064759,150188,5161.9,500,5661.9
VID0578,2852005,95551,7130.01,500,7630.01
VID0579,333965,214,834.91,0,834.91
VID0580,3594375,252478,8985.94,500,9485.94
VID0581,1281904,92299,3204.76,500,3704.76
VID0582,1495133,13750,3737.83,100,3837.83
VID0583,2600616,27942,6501.54,200,6701.54
VID0584,4401887,387693,11004.72,500,11504.72
VID0585,459336,5858,1148.34,0,1148.34
VID0586,2635319,180527,6588.3,500,7088.3
VID0587,3243152,161861,8107.88,500,8607.88
